Age,Attendance,Study_Hours,Previous_Score,Gender_Male,Department_ECE,Department_EEE
0.0,0.6730769230769229,0.5454545454545455,0.5517241379310347,False,False,False
0.3333333333333339,0.8846153846153846,0.8181818181818181,0.7586206896551726,True,True,False
0.0,0.6730769230769229,0.36363636363636365,0.3448275862068968,False,False,False
0.666666666666667,0.19230769230769207,0.5,0.10344827586206895,True,False,True
0.3333333333333339,0.7307692307692308,0.6363636363636365,0.6206896551724141,False,False,False
0.0,0.4807692307692304,0.18181818181818188,0.27586206896551735,True,False,False
1.0,1.0,1.0,1.0,False,True,False
0.666666666666667,0.0,0.0,0.0,True,False,True
0.3333333333333339,0.5576923076923075,0.4545454545454546,0.48275862068965525,False,False,False
0.0,0.6730769230769229,0.2727272727272727,0.4137931034482758,True,True,False
0.666666666666667,0.8076923076923075,0.7272727272727273,0.7931034482758621,False,False,True
0.3333333333333339,0.32692307692307665,0.09090909090909094,0.2068965517241379,True,False,False
0.0,0.6923076923076921,0.5454545454545455,0.5862068965517242,False,True,False
1.0,0.11538461538461497,0.18181818181818188,0.1379310344827589,True,False,True
0.666666666666667,0.9423076923076921,0.9090909090909092,0.931034482758621,False,False,False
